x64-gcc-9-O0_nping, 1.07, 701.53
x86-gcc-7-O1_nping, 0.88, 739.36
x64-gcc-4.8-O0_nping, 1.03, 748.51
x86-clang-5.0-O0_nping, 1.02, 782.75
x86-gcc-9-O0_nping, 0.98, 832.84
x86-gcc-4.8-O0_nping, 0.94, 704.18
x86-clang-9-O0_nping, 0.95, 736.28
x86-gcc-7-O2_nping, 0.94, 876.35
x64-clang-5.0-O1_libclamav.so.9.0.0, 1.89, 1168.21
x86-gcc-9-O3_nping, 0.93, 833.75
x86-clang-9-O3_nmap, 4.25, 1692.81
x64-gcc-5-O3_nping, 0.93, 858.37
x64-gcc-5-O1_nping, 0.84, 681.50
x64-gcc-9-O2_nping, 0.86, 796.31
x64-clang-3.5-Os_libclamav.so.9.0.0, 1.88, 960.95
x64-gcc-9-O3_nping, 0.88, 840.87
x64-gcc-4.8-O3_nping, 0.84, 803.86
x64-clang-9-O3_nping, 0.82, 670.30
x64-gcc-9-O1_nping, 0.83, 653.57
x64-clang-7-O3_nping, 0.82, 675.14
x64-clang-5.0-Os_libclamav.so.9.0.0, 1.84, 1084.89
x64-gcc-4.8-O2_nping, 0.82, 769.06
x86-clang-5.0-O2_nmap, 4.24, 1697.21
x64-clang-7-O0_z3, 36.MB, 19000
x64-clang-7-O1_nping, 0.79, 694.92
x64-gcc-4.8-O1_nping, 0.80, 619.13
x64-clang-5.0-O1_nping, 0.78, 696.50
x64-clang-5.0-O2_nping, 0.79, 668.79
x64-clang-9-O1_nping, 0.79, 659.35
x86-gcc-4.8-O2_nping, 0.80, 754.34
x86-gcc-4.8-O1_nping, 0.78, 698.75
x64-clang-3.5-O3_nping, 0.78, 668.23
x64-clang-3.5-O2_nping, 0.77, 619.77
x64-clang-3.5-O1_nping, 0.77, 660.80
x64-clang-7-Os_nping, 0.75, 578.49
x64-clang-9-Os_nping, 0.75, 617.86
x64-gcc-5-Os_nping, 0.75, 540.45
x64-gcc-7-O2_libclamav.so.9.0.0, 1.85, 1518.84
x64-gcc-7-Os_nping, 0.74, 587.46
x64-clang-5.0-Os_nping, 0.74, 576.85
x86-clang-7-O2_nmap, 4.22, 1660.78
x64-clang-3.5-Os_nping, 0.74, 611.38
x86-clang-5.0-O3_nping, 0.73, 666.40
x64-gcc-9-Os_nping, 0.73, 555.08
x86-clang-7-O3_nping, 0.72, 709.86
x86-gcc-5-Os_nping, 0.72, 669.65
x86-clang-5.0-O2_nping, 0.72, 675.39
x86-gcc-7-Os_nping, 0.72, 626.15
x86-clang-9-O3_nping, 0.71, 673.30
x86-gcc-9-Os_nping, 0.72, 632.32
x64-gcc-4.8-Os_nping, 0.70, 532.64
